newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
  13 0.00000 0.00000 0.00000
  14 0.00000 0.00000 0.00000
  15 0.00000 0.00000 0.00000
  16 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 31.1266 0.00000 5.56504e-14
  2 31.1266 0.00000 4.65244e-14
  3 31.1266 0.00000 2.56149e-14
  4 31.1266 0.00000 2.09601e-14
  5 31.1266 0.00000 2.45582e-14
  6 31.1266 0.00000 2.51893e-14
  7 31.1266 0.00000 2.61134e-14
  8 31.1266 0.00000 2.66083e-14
  9 31.1266 0.00000 2.54355e-14
  10 31.1266 0.00000 2.30349e-14
  11 31.1266 0.00000 1.39445e-14
  12 31.1266 0.00000 1.31725e-14
  13 31.1266 0.00000 5.78058e-15
  14 31.1266 0.00000 9.45598e-15
  15 31.1266 0.00000 1.91024e-14
  16 31.1266 0.00000 2.50608e-14
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 62.2717 0.00000 -6.60576e-14
  2 62.2717 0.00000 -5.35327e-14
  3 62.2717 0.00000 -4.51961e-14
  4 62.2717 0.00000 -3.95056e-14
  5 62.2717 0.00000 -4.11447e-14
  6 62.2717 0.00000 -3.97761e-14
  7 62.2717 0.00000 -3.92804e-14
  8 62.2717 0.00000 -3.96101e-14
  9 62.2717 0.00000 -3.22914e-14
  10 62.2717 0.00000 -3.46284e-14
  11 62.2717 0.00000 -2.77187e-14
  12 62.2717 0.00000 -2.74963e-14
  13 62.2717 0.00000 -2.52215e-14
  14 62.2717 0.00000 -2.86733e-14
  15 62.2717 0.00000 -3.40362e-14
  16 62.2717 0.00000 -3.41539e-14
</Section>

newXOutput 4

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 93.4356 0.00000 1.49859e-14
  2 93.4356 0.00000 1.76307e-14
  3 93.4356 0.00000 1.28030e-14
  4 93.4356 0.00000 1.43539e-14
  5 93.4356 0.00000 1.37358e-14
  6 93.4356 0.00000 1.21462e-14
  7 93.4356 0.00000 1.37171e-14
  8 93.4356 0.00000 1.13303e-14
  9 93.4356 0.00000 7.24815e-15
  10 93.4356 0.00000 6.95548e-15
  11 93.4356 0.00000 1.05275e-14
  12 93.4356 0.00000 2.36925e-15
  13 93.4356 0.00000 1.75623e-14
  14 93.4356 0.00000 2.67864e-14
  15 93.4356 0.00000 2.06372e-14
  16 93.4356 0.00000 3.45240e-14
</Section>

newXOutput 5

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 124.618 0.00000 1.48723e-14
  2 124.618 0.00000 1.43701e-14
  3 124.618 0.00000 5.09878e-15
  4 124.618 0.00000 5.98148e-15
  5 124.618 0.00000 4.23522e-15
  6 124.618 0.00000 6.48542e-15
  7 124.618 0.00000 1.42079e-15
  8 124.618 0.00000 1.50957e-15
  9 124.618 0.00000 -3.85332e-15
  10 124.618 0.00000 -7.00551e-15
  11 124.618 0.00000 -1.63074e-14
  12 124.618 0.00000 -1.78175e-14
  13 124.618 0.00000 -2.03241e-17
  14 124.618 0.00000 -1.08292e-14
  15 124.618 0.00000 4.47914e-15
  16 124.618 0.00000 6.29500e-15
</Section>

newXOutput 6

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 155.820 0.00000 -3.63218e-14
  2 155.820 0.00000 -2.78906e-14
  3 155.820 0.00000 -1.90667e-14
  4 155.820 0.00000 -1.53255e-14
  5 155.820 0.00000 -2.25807e-14
  6 155.820 0.00000 -2.64733e-14
  7 155.820 0.00000 -1.98249e-14
  8 155.820 0.00000 -2.08156e-14
  9 155.820 0.00000 -1.47920e-14
  10 155.820 0.00000 -1.10588e-14
  11 155.820 0.00000 -3.47772e-14
  12 155.820 0.00000 -2.39830e-14
  13 155.820 0.00000 -2.29080e-14
  14 155.820 0.00000 -4.31608e-14
  15 155.820 0.00000 -3.34757e-14
  16 155.820 0.00000 -3.76083e-14
</Section>

newXOutput 7

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 187.040 0.00000 8.25677e-15
  2 187.040 0.00000 9.77711e-15
  3 187.040 0.00000 1.40353e-14
  4 187.040 0.00000 1.38618e-14
  5 187.040 0.00000 1.43879e-14
  6 187.040 0.00000 1.28600e-14
  7 187.040 0.00000 1.93487e-14
  8 187.040 0.00000 2.18395e-14
  9 187.040 0.00000 1.15571e-14
  10 187.040 0.00000 1.50416e-14
  11 187.040 0.00000 -6.41665e-15
  12 187.040 0.00000 -1.33652e-14
  13 187.040 0.00000 2.69392e-14
  14 187.040 0.00000 1.53914e-14
  15 187.040 0.00000 1.36699e-14
  16 187.040 0.00000 -2.94093e-15
</Section>

newXOutput 8

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 218.279 0.00000 -4.58739e-14
  2 218.279 0.00000 -4.28272e-14
  3 218.279 0.00000 -1.92693e-14
  4 218.279 0.00000 -1.84718e-14
  5 218.279 0.00000 -1.55297e-14
  6 218.279 0.00000 -1.59160e-14
  7 218.279 0.00000 -2.25176e-14
  8 218.279 0.00000 -2.01951e-14
  9 218.279 0.00000 -3.34279e-14
  10 218.279 0.00000 -3.26663e-14
  11 218.279 0.00000 -9.05003e-15
  12 218.279 0.00000 -1.08805e-14
  13 218.279 0.00000 -2.19288e-14
  14 218.279 0.00000 -2.63011e-14
  15 218.279 0.00000 -4.11096e-14
  16 218.279 0.00000 -6.50487e-14
</Section>

newXOutput 9

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 249.537 0.00000 2.20475e-14
  2 249.537 0.00000 1.78846e-14
  3 249.537 0.00000 2.00146e-14
  4 249.537 0.00000 1.86850e-14
  5 249.537 0.00000 4.39959e-14
  6 249.537 0.00000 3.89014e-14
  7 249.537 0.00000 3.32878e-15
  8 249.537 0.00000 4.77047e-15
  9 249.537 0.00000 1.46532e-15
  10 249.537 0.00000 6.41400e-15
  11 249.537 0.00000 1.15219e-15
  12 249.537 0.00000 1.75054e-14
  13 249.537 0.00000 1.01480e-14
  14 249.537 0.00000 2.37596e-15
  15 249.537 0.00000 1.21446e-14
  16 249.537 0.00000 -1.31586e-14
</Section>

newXOutput 10

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 280.814 0.00000 -1.88352e-14
  2 280.814 0.00000 -2.00984e-14
  3 280.814 0.00000 -1.38494e-14
  4 280.814 0.00000 -1.45194e-14
  5 280.814 0.00000 -1.02206e-14
  6 280.814 0.00000 -1.38801e-14
  7 280.814 0.00000 -5.53898e-14
  8 280.814 0.00000 -6.45210e-14
  9 280.814 0.00000 -2.28086e-14
  10 280.814 0.00000 -2.05146e-14
  11 280.814 0.00000 2.84116e-14
  12 280.814 0.00000 2.88276e-14
  13 280.814 0.00000 9.46560e-15
  14 280.814 0.00000 -9.36930e-16
  15 280.814 0.00000 4.70530e-14
  16 280.814 0.00000 2.46308e-14
</Section>

newXOutput 11

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 312.110 0.00000 1.46858e-14
  2 312.110 0.00000 1.23873e-14
  3 312.110 0.00000 1.73350e-14
  4 312.110 0.00000 1.79891e-14
  5 312.110 0.00000 1.92722e-14
  6 312.110 0.00000 2.56546e-14
  7 312.110 0.00000 1.27680e-14
  8 312.110 0.00000 1.47121e-14
  9 312.110 0.00000 2.22430e-14
  10 312.110 0.00000 2.56691e-14
