newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
  13 0.00000 0.00000 0.00000
  14 0.00000 0.00000 0.00000
  15 0.00000 0.00000 0.00000
  16 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 30.9481 -0.00878629 -2.26826e-14
  2 30.9481 -0.00878629 -1.71682e-14
  3 30.9481 -0.00878629 -1.43827e-14
  4 30.9481 -0.00878629 -1.16992e-14
  5 30.9481 -0.00878629 -1.01734e-14
  6 30.9481 -0.00878629 -1.09315e-14
  7 30.9481 -0.00878629 -1.09924e-14
  8 30.9481 -0.00878629 -9.92817e-15
  9 30.9481 -0.00878629 -1.66034e-14
  10 30.9481 -0.00878629 -1.52014e-14
  11 30.9481 -0.00878629 -1.11054e-14
  12 30.9481 -0.00878629 -1.23125e-14
  13 30.9481 -0.00878629 -1.71262e-14
  14 30.9481 -0.00878629 -1.47593e-14
  15 30.9481 -0.00878629 -1.61362e-14
  16 30.9481 -0.00878629 -1.21703e-14
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 61.6836 -0.00875895 2.98243e-14
  2 61.6836 -0.00875895 2.78864e-14
  3 61.6836 -0.00875895 1.41890e-14
  4 61.6836 -0.00875895 1.32981e-14
  5 61.6836 -0.00875895 1.08735e-14
  6 61.6836 -0.00875895 1.17899e-14
  7 61.6836 -0.00875895 1.57910e-14
  8 61.6836 -0.00875895 1.64582e-14
  9 61.6836 -0.00875895 1.97452e-14
  10 61.6836 -0.00875895 2.24125e-14
  11 61.6836 -0.00875895 2.95054e-14
  12 61.6836 -0.00875895 2.47565e-14
  13 61.6836 -0.00875895 2.19919e-14
  14 61.6836 -0.00875895 1.23177e-14
  15 61.6836 -0.00875895 4.26826e-14
  16 61.6836 -0.00875895 4.47720e-14
</Section>

newXOutput 4

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 92.2059 -0.00873479 1.03812e-14
  2 92.2059 -0.00873479 8.52889e-15
  3 92.2059 -0.00873479 -7.03082e-16
  4 92.2059 -0.00873479 -1.55033e-15
  5 92.2059 -0.00873479 -1.68903e-15
  6 92.2059 -0.00873479 -2.49346e-15
  7 92.2059 -0.00873479 -2.94862e-15
  8 92.2059 -0.00873479 -2.04361e-15
  9 92.2059 -0.00873479 -7.24944e-15
  10 92.2059 -0.00873479 -8.43873e-15
  11 92.2059 -0.00873479 5.70783e-15
  12 92.2059 -0.00873479 -2.42440e-15
  13 92.2059 -0.00873479 -2.28298e-15
  14 92.2059 -0.00873479 -6.23919e-15
  15 92.2059 -0.00873479 4.01318e-15
  16 92.2059 -0.00873479 1.15831e-14
</Section>

newXOutput 5

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 122.517 -0.00871075 -3.46970e-15
  2 122.517 -0.00871075 -1.84477e-15
  3 122.517 -0.00871075 2.31419e-15
  4 122.517 -0.00871075 3.52616e-15
  5 122.517 -0.00871075 2.84479e-15
  6 122.517 -0.00871075 2.66041e-15
  7 122.517 -0.00871075 4.65972e-16
  8 122.517 -0.00871075 1.38791e-15
  9 122.517 -0.00871075 -1.62922e-14
  10 122.517 -0.00871075 -1.36569e-14
  11 122.517 -0.00871075 1.42937e-16
  12 122.517 -0.00871075 -8.41568e-15
  13 122.517 -0.00871075 -1.68266e-14
  14 122.517 -0.00871075 -9.10555e-15
  15 122.517 -0.00871075 -1.24868e-14
  16 122.517 -0.00871075 -8.21561e-15
</Section>

newXOutput 6

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 152.618 -0.00868684 -7.69305e-14
  2 152.618 -0.00868684 -6.16178e-14
  3 152.618 -0.00868684 -3.27931e-14
  4 152.618 -0.00868684 -2.46720e-14
  5 152.618 -0.00868684 -3.15914e-14
  6 152.618 -0.00868684 -2.78769e-14
  7 152.618 -0.00868684 -1.40756e-14
  8 152.618 -0.00868684 -1.01852e-14
  9 152.618 -0.00868684 -4.48569e-15
  10 152.618 -0.00868684 7.54917e-15
  11 152.618 -0.00868684 7.72716e-15
  12 152.618 -0.00868684 4.84892e-15
  13 152.618 -0.00868684 -1.06472e-14
  14 152.618 -0.00868684 -1.26034e-14
  15 152.618 -0.00868684 -2.99797e-14
  16 152.618 -0.00868684 -8.35307e-15
</Section>

newXOutput 7

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 182.512 -0.00866305 -5.01907e-14
  2 182.512 -0.00866305 -3.48423e-14
  3 182.512 -0.00866305 1.42122e-15
  4 182.512 -0.00866305 8.07751e-15
  5 182.512 -0.00866305 6.53384e-15
  6 182.512 -0.00866305 1.11522e-14
  7 182.512 -0.00866305 2.32156e-15
  8 182.512 -0.00866305 8.65050e-15
  9 182.512 -0.00866305 -1.12524e-14
  10 182.512 -0.00866305 -5.35372e-15
  11 182.512 -0.00866305 2.69086e-14
  12 182.512 -0.00866305 1.15973e-14
  13 182.512 -0.00866305 1.51244e-14
  14 182.512 -0.00866305 -9.01225e-15
  15 182.512 -0.00866305 -1.16086e-14
  16 182.512 -0.00866305 -4.41311e-14
</Section>

newXOutput 8

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 212.200 -0.00863939 -1.21921e-14
  2 212.200 -0.00863939 -4.18888e-15
  3 212.200 -0.00863939 9.80222e-15
  4 212.200 -0.00863939 1.36428e-14
  5 212.200 -0.00863939 1.25365e-14
  6 212.200 -0.00863939 1.39916e-14
  7 212.200 -0.00863939 2.14470e-14
  8 212.200 -0.00863939 2.56096e-14
  9 212.200 -0.00863939 1.64670e-14
  10 212.200 -0.00863939 1.32618e-14
  11 212.200 -0.00863939 -2.15260e-15
  12 212.200 -0.00863939 4.95275e-16
  13 212.200 -0.00863939 -1.27727e-14
  14 212.200 -0.00863939 -4.93284e-15
  15 212.200 -0.00863939 -2.25432e-14
  16 212.200 -0.00863939 -9.97654e-15
</Section>

newXOutput 9

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 241.684 -0.00861585 4.26638e-15
  2 241.684 -0.00861585 4.26638e-15
  3 241.684 -0.00861585 1.69281e-14
  4 241.684 -0.00861585 1.96194e-14
  5 241.684 -0.00861585 1.24974e-14
  6 241.684 -0.00861585 1.74262e-14
  7 241.684 -0.00861585 9.05325e-15
  8 241.684 -0.00861585 1.15883e-14
  9 241.684 -0.00861585 -2.30267e-14
  10 241.684 -0.00861585 -1.89438e-14
  11 241.684 -0.00861585 -2.20334e-14
  12 241.684 -0.00861585 -2.26833e-14
  13 241.684 -0.00861585 -4.80509e-14
  14 241.684 -0.00861585 -6.72275e-14
  15 241.684 -0.00861585 -1.71555e-14
  16 241.684 -0.00861585 -9.92851e-15
</Section>

newXOutput 10

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 270.966 -0.00859243 -3.31193e-14
  2 270.966 -0.00859243 -2.63520e-14
  3 270.966 -0.00859243 1.41716e-15
  4 270.966 -0.00859243 3.97940e-15
  5 270.966 -0.00859243 -7.64602e-15
  6 270.966 -0.00859243 -1.01872e-14
  7 270.966 -0.00859243 -1.40119e-14
  8 270.966 -0.00859243 -9.24289e-15
  9 270.966 -0.00859243 5.12818e-14
  10 270.966 -0.00859243 5.49842e-14
  11 270.966 -0.00859243 6.68147e-14
  12 270.966 -0.00859243 6.50707e-14
  13 270.966 -0.00859243 2.98084e-14
  14 270.966 -0.00859243 7.66464e-15
