newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 24.8991 0.00000 -2.85702e-14
  2 24.8991 0.00000 -2.64542e-14
  3 24.8991 0.00000 -1.41765e-14
  4 24.8991 0.00000 -1.32361e-14
  5 24.8991 0.00000 -9.01650e-15
  6 24.8991 0.00000 -8.82106e-15
  7 24.8991 0.00000 -2.51994e-15
  8 24.8991 0.00000 -1.46602e-15
  9 24.8991 0.00000 -7.53308e-15
  10 24.8991 0.00000 -4.27333e-15
  11 24.8991 0.00000 -2.48900e-14
  12 24.8991 0.00000 -2.13695e-14
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 49.8102 0.00000 -6.07519e-15
  2 49.8102 0.00000 -4.58142e-15
  3 49.8102 0.00000 6.72538e-16
  4 49.8102 0.00000 1.71613e-15
  5 49.8102 0.00000 2.03837e-16
  6 49.8102 0.00000 5.48420e-16
  7 49.8102 0.00000 -2.21255e-15
  8 49.8102 0.00000 -1.53674e-15
  9 49.8102 0.00000 5.68195e-15
  10 49.8102 0.00000 9.31646e-15
  11 49.8102 0.00000 -6.74543e-15
  12 49.8102 0.00000 -8.23592e-17
</Section>

newXOutput 4

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 74.7332 0.00000 -5.05132e-14
  2 74.7332 0.00000 -4.53497e-14
  3 74.7332 0.00000 -1.68862e-14
  4 74.7332 0.00000 -1.38993e-14
  5 74.7332 0.00000 -1.62402e-14
  6 74.7332 0.00000 -1.56440e-14
  7 74.7332 0.00000 -5.53253e-15
  8 74.7332 0.00000 -4.63160e-15
  9 74.7332 0.00000 -5.90993e-15
  10 74.7332 0.00000 -9.75877e-15
  11 74.7332 0.00000 8.42137e-16
  12 74.7332 0.00000 -2.64535e-15
</Section>

newXOutput 5

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 99.6681 0.00000 1.93542e-14
  2 99.6681 0.00000 2.27560e-14
  3 99.6681 0.00000 1.66151e-14
  4 99.6681 0.00000 1.89775e-14
  5 99.6681 0.00000 2.15215e-14
  6 99.6681 0.00000 2.25915e-14
  7 99.6681 0.00000 1.27087e-14
  8 99.6681 0.00000 1.35014e-14
  9 99.6681 0.00000 -8.29291e-15
  10 99.6681 0.00000 -2.89419e-15
  11 99.6681 0.00000 -3.45046e-16
  12 99.6681 0.00000 -3.30226e-15
</Section>

newXOutput 6

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 124.615 0.00000 -8.70440e-14
  2 124.615 0.00000 -7.50723e-14
  3 124.615 0.00000 -2.18924e-14
  4 124.615 0.00000 -1.66232e-14
  5 124.615 0.00000 -2.16468e-14
  6 124.615 0.00000 -2.21529e-14
  7 124.615 0.00000 -2.72255e-14
  8 124.615 0.00000 -2.75886e-14
  9 124.615 0.00000 -3.74850e-14
  10 124.615 0.00000 -2.45652e-14
  11 124.615 0.00000 -1.57279e-14
  12 124.615 0.00000 6.93224e-15
</Section>

newXOutput 7

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 149.574 0.00000 -6.16036e-14
  2 149.574 0.00000 -5.13049e-14
  3 149.574 0.00000 -1.28965e-14
  4 149.574 0.00000 -9.85618e-15
  5 149.574 0.00000 -6.36180e-15
  6 149.574 0.00000 -7.24717e-15
  7 149.574 0.00000 7.19595e-15
  8 149.574 0.00000 7.40415e-15
  9 149.574 0.00000 -1.37011e-14
  10 149.574 0.00000 -5.75239e-15
  11 149.574 0.00000 -3.25800e-14
  12 149.574 0.00000 -4.92493e-14
</Section>

newXOutput 8

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 174.545 0.00000 1.26541e-14
  2 174.545 0.00000 2.37095e-14
  3 174.545 0.00000 2.58553e-14
  4 174.545 0.00000 3.07608e-14
  5 174.545 0.00000 2.86129e-14
  6 174.545 0.00000 2.88661e-14
  7 174.545 0.00000 2.97927e-14
  8 174.545 0.00000 3.35486e-14
  9 174.545 0.00000 1.43718e-15
  10 174.545 0.00000 1.15614e-14
  11 174.545 0.00000 -1.93295e-14
  12 174.545 0.00000 -1.78104e-14
</Section>

newXOutput 9

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 199.528 0.00000 -3.53270e-14
  2 199.528 0.00000 -2.65782e-14
  3 199.528 0.00000 -1.86552e-14
  4 199.528 0.00000 -1.42808e-14
  5 199.528 0.00000 -2.36095e-14
  6 199.528 0.00000 -2.06925e-14
  7 199.528 0.00000 -4.25845e-14
  8 199.528 0.00000 -5.49863e-14
  9 199.528 0.00000 1.07962e-13
  10 199.528 0.00000 6.13735e-14
  11 199.528 0.00000 -2.13248e-13
  12 199.528 0.00000 -2.77517e-13
</Section>

newXOutput 10

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 224.523 0.00000 3.00990e-14
  2 224.523 0.00000 4.08883e-14
  3 224.523 0.00000 1.79113e-15
  4 224.523 0.00000 9.67518e-15
  5 224.523 0.00000 2.13890e-14
  6 224.523 0.00000 2.12633e-14
  7 224.523 0.00000 4.27191e-14
  8 224.523 0.00000 4.60503e-14
  9 224.523 0.00000 -9.75919e-14
  10 224.523 0.00000 -7.85035e-14
  11 224.523 0.00000 1.10841e-13
  12 224.523 0.00000 1.18123e-13
</Section>

newXOutput 11

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 249.531 0.00000 -2.12220e-14
  2 249.531 0.00000 -1.28270e-14
  3 249.531 0.00000 -3.87612e-14
  4 249.531 0.00000 -3.22742e-14
  5 249.531 0.00000 -5.05221e-14
  6 249.531 0.00000 -4.78510e-14
  7 249.531 0.00000 -4.30513e-14
  8 249.531 0.00000 -3.92950e-14
  9 249.531 0.00000 -1.05106e-13
  10 249.531 0.00000 -8.38498e-14
  11 249.531 0.00000 8.47952e-14
  12 249.531 0.00000 6.18533e-14
</Section>

newXOutput 12

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 274.550 0.00000 -1.47393e-14
  2 274.550 0.00000 -2.50928e-15
  3 274.550 0.00000 5.60856e-15
  4 274.550 0.00000 1.34434e-14
  5 274.550 0.00000 -1.67305e-14
  6 274.550 0.00000 -1.19690e-14
  7 274.550 0.00000 1.19210e-15
  8 274.550 0.00000 1.18370e-14
  9 274.550 0.00000 -3.23212e-14
  10 274.550 0.00000 -7.53947e-16
  11 274.550 0.00000 -1.92954e-14
  12 274.550 0.00000 3.55359e-14
</Section>

newXOutput 13

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 299.582 0.00000 9.45803e-16
  2 299.582 0.00000 1.26583e-14
  3 299.582 0.00000 -2.12806e-14
  4 299.582 0.00000 -9.29485e-15
  5 299.582 0.00000 2.01338e-14
  6 299.582 0.00000 2.26220e-14
  7 299.582 0.00000 4.81749e-14
  8 299.582 0.00000 5.07400e-14
  9 299.582 0.00000 -5.82456e-14
  10 299.582 0.00000 -7.19713e-14
  11 299.582 0.00000 9.04826e-15
  12 299.582 0.00000 3.68367e-15
</Section>

newXOutput 14

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 324.625 0.00000 -5.24356e-14
  2 324.625 0.00000 -3.24993e-14
  3 324.625 0.00000 1.42716e-15
  4 324.625 0.00000 -6.62404e-15
  5 324.625 0.00000 1.30590e-13
  6 324.625 0.00000 1.18074e-13
  7 324.625 0.00000 -1.48731e-13
