newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 42.5426 0.00000 1.00680e-14
  2 42.5426 0.00000 9.52719e-15
  3 42.5426 0.00000 5.54019e-15
  4 42.5426 0.00000 5.62649e-15
  5 42.5426 0.00000 3.11147e-15
  6 42.5426 0.00000 2.97852e-15
  7 42.5426 0.00000 -1.50385e-15
  8 42.5426 0.00000 -1.91783e-15
  9 42.5426 0.00000 -5.22991e-15
  10 42.5426 0.00000 -4.91536e-15
  11 42.5426 0.00000 -1.96078e-14
  12 42.5426 0.00000 -2.19485e-14
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 84.9709 0.00000 -2.26481e-14
  2 84.9709 0.00000 -2.07024e-14
  3 84.9709 0.00000 -1.02032e-14
  4 84.9709 0.00000 -9.41559e-15
  5 84.9709 0.00000 -1.40006e-14
  6 84.9709 0.00000 -1.46359e-14
  7 84.9709 0.00000 8.09651e-18
  8 84.9709 0.00000 -4.93068e-16
  9 84.9709 0.00000 9.81966e-15
  10 84.9709 0.00000 1.24166e-14
  11 84.9709 0.00000 -2.39788e-14
  12 84.9709 0.00000 -1.82490e-14
</Section>

newXOutput 4

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 127.298 0.00000 3.34114e-14
  2 127.298 0.00000 3.24910e-14
  3 127.298 0.00000 1.14042e-14
  4 127.298 0.00000 1.12201e-14
  5 127.298 0.00000 8.67402e-15
  6 127.298 0.00000 9.96895e-15
  7 127.298 0.00000 1.27177e-14
  8 127.298 0.00000 1.87106e-14
  9 127.298 0.00000 2.62416e-14
  10 127.298 0.00000 2.65095e-14
  11 127.298 0.00000 1.21330e-14
  12 127.298 0.00000 1.48601e-14
</Section>

newXOutput 5

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 169.525 0.00000 3.80949e-15
  2 169.525 0.00000 3.03442e-15
  3 169.525 0.00000 -4.16230e-15
  4 169.525 0.00000 -3.69311e-15
  5 169.525 0.00000 -2.93265e-15
  6 169.525 0.00000 -2.72565e-15
  7 169.525 0.00000 -1.23126e-15
  8 169.525 0.00000 -1.86660e-15
  9 169.525 0.00000 -2.41293e-14
  10 169.525 0.00000 -1.92150e-14
  11 169.525 0.00000 -4.43077e-14
  12 169.525 0.00000 -3.32073e-14
</Section>

newXOutput 6

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 211.652 0.00000 8.33839e-15
  2 211.652 0.00000 8.15677e-15
  3 211.652 0.00000 4.47331e-15
  4 211.652 0.00000 4.47331e-15
  5 211.652 0.00000 -1.34730e-15
  6 211.652 0.00000 -8.93258e-16
  7 211.652 0.00000 -6.99598e-15
  8 211.652 0.00000 -7.58578e-15
  9 211.652 0.00000 3.99476e-14
  10 211.652 0.00000 5.22278e-14
  11 211.652 0.00000 2.29405e-14
  12 211.652 0.00000 6.15461e-14
</Section>

newXOutput 7

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 253.681 0.00000 9.56807e-15
  2 253.681 0.00000 9.56807e-15
  3 253.681 0.00000 -1.11232e-14
  4 253.681 0.00000 -1.07624e-14
  5 253.681 0.00000 -2.58680e-14
  6 253.681 0.00000 -2.29248e-14
  7 253.681 0.00000 -4.97732e-15
  8 253.681 0.00000 3.53757e-15
  9 253.681 0.00000 1.26494e-14
  10 253.681 0.00000 1.59630e-14
  11 253.681 0.00000 8.98464e-15
  12 253.681 0.00000 -1.35948e-14
</Section>

newXOutput 8

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 295.613 0.00000 -1.25264e-14
  2 295.613 0.00000 -9.55030e-15
  3 295.613 0.00000 -4.48981e-15
  4 295.613 0.00000 -2.89785e-15
  5 295.613 0.00000 5.09848e-15
  6 295.613 0.00000 6.53176e-15
  7 295.613 0.00000 1.24343e-14
  8 295.613 0.00000 1.21578e-14
  9 295.613 0.00000 -8.38387e-15
  10 295.613 0.00000 -1.35375e-14
  11 295.613 0.00000 -2.32887e-14
  12 295.613 0.00000 -3.12514e-14
</Section>

newXOutput 9

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 337.448 0.00000 2.87674e-14
  2 337.448 0.00000 2.92402e-14
  3 337.448 0.00000 1.35008e-14
  4 337.448 0.00000 1.38374e-14
  5 337.448 0.00000 -3.74588e-15
  6 337.448 0.00000 -3.70739e-15
  7 337.448 0.00000 5.10758e-15
  8 337.448 0.00000 3.46624e-15
  9 337.448 0.00000 -8.61626e-15
  10 337.448 0.00000 -1.81711e-15
  11 337.448 0.00000 -5.38827e-14
  12 337.448 0.00000 -3.62582e-14
</Section>

newXOutput 10

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 379.189 0.00000 4.79034e-15
  2 379.189 0.00000 5.49718e-15
  3 379.189 0.00000 8.51644e-15
  4 379.189 0.00000 9.40000e-15
  5 379.189 0.00000 3.42908e-14
  6 379.189 0.00000 3.39734e-14
  7 379.189 0.00000 2.25616e-14
  8 379.189 0.00000 2.00354e-14
  9 379.189 0.00000 -1.14571e-14
  10 379.189 0.00000 -9.43500e-15
  11 379.189 0.00000 -4.93112e-15
  12 379.189 0.00000 -2.00756e-14
</Section>

newXOutput 11

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 420.835 0.00000 5.87964e-14
  2 420.835 0.00000 5.20453e-14
  3 420.835 0.00000 2.57520e-14
  4 420.835 0.00000 1.99605e-14
  5 420.835 0.00000 -1.39842e-14
  6 420.835 0.00000 -1.13777e-14
  7 420.835 0.00000 9.26714e-15
  8 420.835 0.00000 1.60911e-14
  9 420.835 0.00000 1.25251e-14
  10 420.835 0.00000 3.89080e-14
  11 420.835 0.00000 6.05115e-14
  12 420.835 0.00000 2.64215e-14
</Section>

newXOutput 12

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 462.388 0.00000 3.04004e-14
  2 462.388 0.00000 2.48941e-14
  3 462.388 0.00000 -4.17520e-15
  4 462.388 0.00000 -5.18972e-15
  5 462.388 0.00000 -2.40072e-14
  6 462.388 0.00000 -2.30737e-14
  7 462.388 0.00000 4.02800e-14
  8 462.388 0.00000 3.86698e-14
  9 462.388 0.00000 -5.98666e-15
  10 462.388 0.00000 -1.42068e-14
  11 462.388 0.00000 -3.41366e-14
  12 462.388 0.00000 -6.11087e-14
</Section>

newXOutput 13

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 503.849 0.00000 2.37221e-14
  2 503.849 0.00000 2.02610e-14
  3 503.849 0.00000 3.09257e-14
  4 503.849 0.00000 3.02335e-14
  5 503.849 0.00000 3.17494e-14
  6 503.849 0.00000 3.28449e-14
  7 503.849 0.00000 -8.64354e-15
  8 503.849 0.00000 -1.06099e-14
  9 503.849 0.00000 -4.57786e-15
  10 503.849 0.00000 -2.48642e-14
  11 503.849 0.00000 -2.80424e-15
  12 503.849 0.00000 9.24293e-15
</Section>

newXOutput 14

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 545.219 0.00000 -1.98138e-15
  2 545.219 0.00000 1.53787e-14
  3 545.219 0.00000 -9.49342e-15
  4 545.219 0.00000 -4.34452e-14
  5 545.219 0.00000 -1.43304e-14
  6 545.219 0.00000 -4.83374e-14
  7 545.219 0.00000 1.31269e-14
  8 545.219 0.00000 2.66183e-14
  9 545.219 0.00000 4.59511e-14
