newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 24.7761 -0.00562356 1.01077e-14
  2 24.7761 -0.00562356 9.56457e-15
  3 24.7761 -0.00562356 5.61673e-15
  4 24.7761 -0.00562356 5.70198e-15
  5 24.7761 -0.00562356 3.18506e-15
  6 24.7761 -0.00562356 3.05189e-15
  7 24.7761 -0.00562356 -1.52618e-15
  8 24.7761 -0.00562356 -1.94039e-15
  9 24.7761 -0.00562356 -5.33037e-15
  10 24.7761 -0.00562356 -5.01739e-15
  11 24.7761 -0.00562356 -1.97057e-14
  12 24.7761 -0.00562356 -2.20458e-14
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 49.4160 -0.00560955 4.42469e-14
  2 49.4160 -0.00560955 4.15438e-14
  3 49.4160 -0.00560955 1.16450e-14
  4 49.4160 -0.00560955 1.05731e-14
  5 49.4160 -0.00560955 1.21054e-14
  6 49.4160 -0.00560955 1.25856e-14
  7 49.4160 -0.00560955 1.66753e-14
  8 49.4160 -0.00560955 1.80199e-14
  9 49.4160 -0.00560955 1.05328e-14
  10 49.4160 -0.00560955 1.40802e-14
  11 49.4160 -0.00560955 1.76375e-14
  12 49.4160 -0.00560955 1.25014e-14
</Section>

newXOutput 4

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 73.9189 -0.00559716 -6.55492e-14
  2 73.9189 -0.00559716 1.41869e-13
  3 73.9189 -0.00559716 -4.84628e-14
  4 73.9189 -0.00559716 4.21165e-14
  5 73.9189 -0.00559716 -1.51625e-14
  6 73.9189 -0.00559716 -1.41873e-14
  7 73.9189 -0.00559716 2.72688e-14
  8 73.9189 -0.00559716 -6.39833e-14
  9 73.9189 -0.00559716 -2.24496e-14
  10 73.9189 -0.00559716 -4.63484e-15
  11 73.9189 -0.00559716 -9.77338e-14
  12 73.9189 -0.00559716 1.36093e-13
</Section>

newXOutput 5

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 98.2859 -0.00558482 -3.87621e-14
  2 98.2859 -0.00558482 7.85663e-14
  3 98.2859 -0.00558482 -9.57712e-15
  4 98.2859 -0.00558482 1.19824e-14
  5 98.2859 -0.00558482 7.87696e-15
  6 98.2859 -0.00558482 8.82960e-15
  7 98.2859 -0.00558482 1.47209e-14
  8 98.2859 -0.00558482 -8.42406e-15
  9 98.2859 -0.00558482 -1.39450e-14
  10 98.2859 -0.00558482 -3.25966e-14
  11 98.2859 -0.00558482 -3.56004e-14
  12 98.2859 -0.00558482 2.96784e-14
</Section>

newXOutput 6

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 122.518 -0.00557253 -1.70451e-14
  2 122.518 -0.00557253 8.07492e-14
  3 122.518 -0.00557253 -4.52807e-15
  4 122.518 -0.00557253 1.51744e-14
  5 122.518 -0.00557253 1.44746e-14
  6 122.518 -0.00557253 1.51737e-14
  7 122.518 -0.00557253 3.93418e-16
  8 122.518 -0.00557253 -2.13491e-14
  9 122.518 -0.00557253 -1.64128e-14
  10 122.518 -0.00557253 -2.21525e-14
  11 122.518 -0.00557253 -2.07567e-14
  12 122.518 -0.00557253 5.29664e-14
</Section>

newXOutput 7

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 146.616 -0.00556029 9.94913e-14
  2 146.616 -0.00556029 -5.40963e-14
  3 146.616 -0.00556029 -8.02879e-15
  4 146.616 -0.00556029 1.02511e-14
  5 146.616 -0.00556029 -2.53533e-14
  6 146.616 -0.00556029 -2.28732e-14
  7 146.616 -0.00556029 -2.63087e-14
  8 146.616 -0.00556029 -5.78551e-14
  9 146.616 -0.00556029 -4.33627e-14
  10 146.616 -0.00556029 1.90084e-14
  11 146.616 -0.00556029 4.44183e-14
  12 146.616 -0.00556029 3.16024e-14
</Section>

newXOutput 8

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 170.580 -0.00554810 5.43558e-14
  2 170.580 -0.00554810 -1.55695e-14
  3 170.580 -0.00554810 7.52385e-14
  4 170.580 -0.00554810 -8.69443e-14
  5 170.580 -0.00554810 -1.84345e-15
  6 170.580 -0.00554810 -5.62091e-16
  7 170.580 -0.00554810 -7.71770e-14
  8 170.580 -0.00554810 7.93313e-14
  9 170.580 -0.00554810 -7.98274e-14
  10 170.580 -0.00554810 -2.83520e-14
  11 170.580 -0.00554810 -7.89330e-14
  12 170.580 -0.00554810 -4.57199e-14
</Section>

newXOutput 9

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 194.413 -0.00553596 1.11787e-14
  2 194.413 -0.00553596 -6.79774e-14
  3 194.413 -0.00553596 4.62442e-14
  4 194.413 -0.00553596 -5.57103e-14
  5 194.413 -0.00553596 1.14706e-14
  6 194.413 -0.00553596 2.13709e-14
  7 194.413 -0.00553596 -1.90562e-14
  8 194.413 -0.00553596 1.98992e-14
  9 194.413 -0.00553596 5.07646e-14
  10 194.413 -0.00553596 -7.14464e-14
  11 194.413 -0.00553596 6.72962e-14
  12 194.413 -0.00553596 -1.12196e-13
</Section>

newXOutput 10

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 218.114 -0.00552388 4.37231e-14
  2 218.114 -0.00552388 -3.58736e-14
  3 218.114 -0.00552388 4.95214e-14
  4 218.114 -0.00552388 -4.66125e-14
  5 218.114 -0.00552388 1.11991e-14
  6 218.114 -0.00552388 2.11133e-14
  7 218.114 -0.00552388 -4.07184e-14
  8 218.114 -0.00552388 -2.27817e-14
  9 218.114 -0.00552388 -6.48577e-14
  10 218.114 -0.00552388 -2.80818e-14
  11 218.114 -0.00552388 -1.14346e-13
  12 218.114 -0.00552388 4.21508e-14
</Section>

newXOutput 11

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 241.685 -0.00551184 1.68924e-14
  2 241.685 -0.00551184 2.37156e-15
  3 241.685 -0.00551184 8.67770e-15
  4 241.685 -0.00551184 -1.39993e-14
  5 241.685 -0.00551184 5.01196e-15
  6 241.685 -0.00551184 6.37879e-15
  7 241.685 -0.00551184 -1.21795e-14
  8 241.685 -0.00551184 -1.55643e-15
  9 241.685 -0.00551184 6.48776e-14
  10 241.685 -0.00551184 5.64154e-14
  11 241.685 -0.00551184 6.47112e-14
  12 241.685 -0.00551184 8.05965e-14
</Section>

newXOutput 12

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 265.126 -0.00549985 1.66175e-14
  2 265.126 -0.00549985 4.12189e-15
  3 265.126 -0.00549985 1.93897e-14
  4 265.126 -0.00549985 1.08510e-15
  5 265.126 -0.00549985 4.45991e-14
  6 265.126 -0.00549985 4.72226e-14
  7 265.126 -0.00549985 1.36977e-14
  8 265.126 -0.00549985 2.19309e-14
  9 265.126 -0.00549985 -2.75228e-14
  10 265.126 -0.00549985 -1.09525e-14
  11 265.126 -0.00549985 -1.09388e-13
  12 265.126 -0.00549985 -3.77828e-14
</Section>

newXOutput 13

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 288.439 -0.00548791 3.65843e-14
  2 288.439 -0.00548791 1.78884e-14
  3 288.439 -0.00548791 3.96497e-15
  4 288.439 -0.00548791 -1.83263e-14
  5 288.439 -0.00548791 -4.56886e-14
  6 288.439 -0.00548791 -4.28123e-14
  7 288.439 -0.00548791 -4.38330e-14
  8 288.439 -0.00548791 -3.09734e-14
