elas melro 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.00000 
0.00000 0.0214032 
0.00000 0.0614571 
0.00000 0.106044 
0.00000 0.155420 
0.00000 0.210016 
0.00000 0.270316 
0.00000 0.336864 
0.00000 0.410269 
0.00000 0.491210 
0.00000 0.580452 
0.00000 0.678847 
0.00000 0.787346 
0.00000 0.907007 
0.00000 1.03900 
0.00000 1.18464 
0.00000 1.34533 
0.00000 1.52264 
0.00000 1.71826 
0.00000 1.93401 
0.00000 2.17183 
0.00000 2.43378 
0.00000 2.72205 
0.00000 3.03893 
0.00000 3.38685 
0.00000 3.76837 
0.00000 4.18628 
0.00000 4.64360 
0.00000 5.14373 
0.00000 5.69052 
0.00000 6.28842 
0.00000 6.94266 
0.00000 7.65942 
0.00000 8.44608 
0.00000 9.31147 
0.00000 10.2662 
0.00000 11.3230 
0.00000 12.5344 
0.00000 13.8539 
0.00000 15.3335 
0.00000 16.9995 
0.00000 18.8819 
0.00000 21.0141 
0.00000 23.4306 
0.00000 26.1644 
0.00000 29.2415 
0.00000 32.6765 
0.00000 36.4688 
0.00000 40.6030 
0.00000 45.0536 
0.00000 49.7912 
0.00000 54.7887 
0.00000 60.0244 
0.00000 65.4831 
0.00000 71.1554 
0.00000 77.0360 
0.00000 83.1228 
0.00000 89.2452 
0.00000 95.8947 
0.00000 102.429 
0.00000 109.293 
0.00000 116.380 
0.00000 123.669 
0.00000 131.155 
0.00000 138.831 
0.00000 146.691 
0.00000 154.726 
0.00000 162.930 
0.00000 171.292 
0.00000 179.804 
0.00000 188.457 
0.00000 197.240 
0.00000 206.146 
0.00000 215.165 
0.00000 224.287 
0.00000 233.505 
0.00000 242.810 
0.00000 252.196 
0.00000 261.654 
0.00000 271.179 
0.00000 280.764 
0.00000 290.403 
0.00000 300.092 
0.00000 309.825 
0.00000 319.599 
0.00000 329.408 
0.00000 339.250 
0.00000 349.122 
