newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
  13 0.00000 0.00000 0.00000
  14 0.00000 0.00000 0.00000
  15 0.00000 0.00000 0.00000
  16 0.00000 0.00000 0.00000
  17 0.00000 0.00000 0.00000
  18 0.00000 0.00000 0.00000
  19 0.00000 0.00000 0.00000
  20 0.00000 0.00000 0.00000
  21 0.00000 0.00000 0.00000
  22 0.00000 0.00000 0.00000
  23 0.00000 0.00000 0.00000
  24 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1.64839 4.43415e-15 1.69518e-15
  2 1.64839 5.88229e-16 6.72569e-16
  3 1.64839 3.12836e-15 1.38525e-15
  4 1.64839 -6.67011e-16 8.40032e-16
  5 1.64839 2.66444e-15 1.09025e-15
  6 1.64839 -9.75644e-16 1.13255e-15
  7 1.64839 2.46719e-15 9.22683e-16
  8 1.64839 -1.05825e-15 1.35550e-15
  9 1.64839 1.77759e-15 6.75954e-16
  10 1.64839 -1.61964e-15 1.36936e-15
  11 1.64839 1.13660e-15 4.44373e-16
  12 1.64839 -8.50459e-16 9.45928e-16
  13 1.64839 -1.29526e-16 2.00175e-16
  14 1.64839 -3.72375e-16 9.60298e-16
  15 1.64839 -1.64515e-15 1.62768e-16
  16 1.64839 -4.40816e-16 1.15077e-15
  17 1.64839 -2.50782e-15 1.90225e-16
  18 1.64839 1.33810e-15 9.41039e-16
  19 1.64839 -3.43690e-15 1.11705e-16
  20 1.64839 2.68949e-15 6.48001e-16
  21 1.64839 -3.89489e-15 -1.51110e-16
  22 1.64839 1.10844e-15 7.63359e-16
  23 1.64839 -3.88241e-15 -3.97333e-16
  24 1.64839 -1.17760e-16 7.61877e-16
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 3.29678 5.32233e-15 2.15139e-15
  2 3.29678 1.98920e-15 8.81647e-16
  3 3.29678 3.07091e-15 1.69904e-15
  4 3.29678 1.22362e-16 1.00947e-15
  5 3.29678 2.53031e-15 1.21442e-15
  6 3.29678 1.21650e-16 1.26414e-15
  7 3.29678 1.42716e-16 9.81338e-16
  8 3.29678 -1.19344e-15 1.25805e-15
  9 3.29678 -9.65041e-17 1.14455e-15
  10 3.29678 -1.09499e-15 1.93867e-15
  11 3.29678 7.22262e-16 1.05092e-15
  12 3.29678 -4.31516e-16 1.78460e-15
  13 3.29678 7.79101e-16 7.50868e-16
  14 3.29678 -8.60375e-16 1.21768e-15
  15 3.29678 8.18766e-16 5.14966e-16
  16 3.29678 -2.33906e-16 1.24514e-15
  17 3.29678 -1.33156e-15 8.70143e-17
  18 3.29678 4.90301e-16 7.86965e-16
  19 3.29678 -1.10083e-15 8.49509e-18
  20 3.29678 4.51277e-15 6.36939e-16
  21 3.29678 -1.54032e-15 -2.39209e-16
  22 3.29678 2.61619e-15 6.03753e-16
  23 3.29678 -2.51651e-15 -7.06964e-16
  24 3.29678 -1.34290e-15 2.11554e-16
</Section>

newXOutput 4

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 4.94518 2.61424e-15 1.69543e-15
  2 4.94518 5.02925e-17 1.32455e-15
  3 4.94518 2.96448e-15 1.44440e-15
  4 4.94518 1.44140e-16 1.29933e-15
  5 4.94518 2.96448e-15 9.41707e-16
  6 4.94518 1.44140e-16 8.69460e-16
  7 4.94518 2.68294e-15 8.20892e-16
  8 4.94518 -1.41938e-15 1.10489e-15
  9 4.94518 2.05116e-15 5.49978e-16
  10 4.94518 -1.79477e-15 1.07319e-15
  11 4.94518 1.02558e-15 4.36447e-16
  12 4.94518 -1.28198e-15 9.52101e-16
  13 4.94518 4.87644e-16 -1.21470e-17
  14 4.94518 -1.56352e-15 5.59902e-16
  15 4.94518 -2.12128e-15 -4.27555e-16
  16 4.94518 -1.40628e-15 5.58420e-16
  17 4.94518 -3.71915e-15 -1.40048e-16
  18 4.94518 4.91534e-16 8.30816e-16
  19 4.94518 -3.56581e-15 -1.92394e-16
  20 4.94518 9.95120e-16 4.92445e-16
  21 4.94518 -5.80998e-15 -2.00492e-16
  22 4.94518 8.56294e-16 7.48248e-16
  23 4.94518 -9.24370e-15 5.92813e-18
  24 4.94518 1.01210e-15 1.66163e-15
</Section>

newXOutput 5

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 6.59357 2.61424e-15 1.61849e-15
  2 6.59357 1.58866e-15 6.23942e-16
  3 6.59357 1.93890e-15 1.24973e-15
  4 6.59357 4.00535e-16 5.81886e-16
  5 6.59357 1.42080e-15 7.02200e-16
  6 6.59357 1.93008e-16 1.04435e-15
  7 6.59357 -5.94967e-17 4.73682e-16
  8 6.59357 -7.34835e-16 1.01956e-15
  9 6.59357 1.45182e-17 4.37929e-16
  10 6.59357 -1.15909e-15 1.29600e-15
  11 6.59357 2.54554e-15 1.11705e-16
  12 6.59357 1.51996e-15 6.83755e-16
  13 6.59357 3.31473e-15 -2.32090e-17
  14 6.59357 -2.74803e-16 6.61630e-16
  15 6.59357 1.16298e-15 -4.06913e-16
  16 6.59357 -2.17015e-15 3.68593e-16
  17 6.59357 -1.50013e-15 -6.04441e-17
  18 6.59357 -1.95874e-15 5.94173e-16
  19 6.59357 8.75084e-16 -8.08692e-16
  20 6.59357 5.43601e-15 -6.34082e-17
  21 6.59357 -1.18813e-15 -9.27410e-16
  22 6.59357 1.63222e-15 -3.91143e-17
  23 6.59357 -5.75475e-15 -1.37561e-15
  24 6.59357 -8.83149e-15 -2.91953e-16
</Section>

newXOutput 6

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 8.24196 4.71570e-15 2.25927e-15
  2 8.24196 1.12617e-15 1.25919e-15
  3 8.24196 4.01521e-15 2.04594e-15
  4 8.24196 4.25681e-16 1.34060e-15
  5 8.24196 3.92136e-15 1.50188e-15
  6 8.24196 -6.93746e-16 1.44697e-15
  7 8.24196 1.60707e-15 1.00336e-15
  8 8.24196 -2.23885e-15 1.30450e-15
  9 8.24196 1.37402e-16 1.01996e-15
  10 8.24196 -1.91376e-15 1.49028e-15
  11 8.24196 -3.56980e-16 1.57433e-15
  12 8.24196 -5.48488e-15 2.10104e-15
  13 8.24196 -3.20779e-15 8.31610e-16
  14 8.24196 -4.69197e-15 1.32109e-15
  15 8.24196 -7.63871e-16 6.93732e-16
  16 8.24196 2.00229e-15 1.37857e-15
  17 8.24196 -5.29861e-15 2.72793e-16
  18 8.24196 -2.53245e-15 1.01808e-15
  19 8.24196 -7.54278e-15 4.87311e-16
  20 8.24196 -2.41488e-15 8.94224e-16
  21 8.24196 -1.78414e-15 8.09486e-16
  22 8.24196 3.04770e-15 1.66756e-15
  23 8.24196 -7.18893e-16 7.49042e-16
  24 8.24196 5.10949e-15 2.22341e-15
</Section>

newXOutput 7

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 9.89035 4.85310e-15 2.22605e-15
  2 9.89035 1.77636e-15 -3.51675e-16
  3 9.89035 3.17733e-15 2.10071e-15
  4 9.89035 1.00585e-16 8.86116e-16
  5 9.89035 3.50242e-15 1.90480e-15
  6 9.89035 1.45126e-15 2.60272e-15
  7 9.89035 1.58866e-15 1.53601e-15
  8 9.89035 1.07587e-15 2.27724e-15
  9 9.89035 4.44089e-15 8.75461e-16
  10 9.89035 3.92810e-15 1.09403e-15
  11 9.89035 3.17733e-15 1.22746e-15
