bulk inclusion interface arclen 
4.25385e-307 0.00000 0.00000 0.00000 
4.25385e-307 0.00000 0.00000 0.00000 
4.25385e-307 0.00000 0.00000 -1.63758e-13 
4.25385e-307 0.00000 0.00000 -3.09863e-13 
4.25385e-307 0.00000 0.00000 -4.62852e-13 
4.25385e-307 0.00000 0.00000 -6.24056e-13 
4.25385e-307 0.00000 0.00000 -7.65277e-13 
4.25385e-307 0.00000 0.00000 -9.44245e-13 
4.25385e-307 0.00000 0.00000 -1.01441e-12 
4.25385e-307 0.00000 0.00000 -1.34837e-12 
4.25385e-307 0.00000 0.00000 -1.28797e-12 
4.25385e-307 0.00000 0.00000 -1.60327e-12 
0.0159390 0.00000 0.00000 0.00700899 
-0.241525 0.00000 0.00000 0.0240336 
-0.691228 0.00000 0.00000 0.0738964 
-1.80208 0.00000 0.00000 0.194770 
-4.80573 0.00000 0.00000 0.418000 
-9.21369 0.00000 0.00000 0.713770 
-14.7460 0.00000 0.00000 1.11318 
-21.8703 0.00000 0.00000 1.77288 
-31.8005 0.00000 0.00000 2.32762 
-43.3211 0.00000 0.00000 2.98733 
-56.8544 0.00000 0.00000 3.35016 
-71.5088 0.00000 0.00000 3.65527 
-87.1936 0.00000 0.00000 3.96038 
-103.528 0.00000 0.00000 4.32321 
-120.510 0.00000 0.00000 4.75470 
-138.246 0.00000 0.00000 5.26783 
-156.482 0.00000 0.00000 5.87804 
-175.265 0.00000 0.00000 6.48826 
-194.408 0.00000 0.00000 7.21393 
-213.811 0.00000 0.00000 8.07690 
-233.262 0.00000 0.00000 9.10316 
-252.354 0.00000 0.00000 10.3236 
-270.694 0.00000 0.00000 11.5440 
-287.678 0.00000 0.00000 12.9954 
-303.678 0.00000 0.00000 13.7936 
-318.690 0.00000 0.00000 14.5918 
-332.978 0.00000 0.00000 15.5411 
-346.840 0.00000 0.00000 16.6700 
-360.277 0.00000 0.00000 17.7989 
-373.371 0.00000 0.00000 18.7481 
-386.124 0.00000 0.00000 19.6974 
