newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
  13 0.00000 0.00000 0.00000
  14 0.00000 0.00000 0.00000
  15 0.00000 0.00000 0.00000
  16 0.00000 0.00000 0.00000
  17 0.00000 0.00000 0.00000
  18 0.00000 0.00000 0.00000
  19 0.00000 0.00000 0.00000
  20 0.00000 0.00000 0.00000
  21 0.00000 0.00000 0.00000
  22 0.00000 0.00000 0.00000
  23 0.00000 0.00000 0.00000
  24 0.00000 0.00000 0.00000
  25 0.00000 0.00000 0.00000
  26 0.00000 0.00000 0.00000
  27 0.00000 0.00000 0.00000
  28 0.00000 0.00000 0.00000
  29 0.00000 0.00000 0.00000
  30 0.00000 0.00000 0.00000
  31 0.00000 0.00000 0.00000
  32 0.00000 0.00000 0.00000
  33 0.00000 0.00000 0.00000
  34 0.00000 0.00000 0.00000
  35 0.00000 0.00000 0.00000
  36 0.00000 0.00000 0.00000
  37 0.00000 0.00000 0.00000
  38 0.00000 0.00000 0.00000
  39 0.00000 0.00000 0.00000
  40 0.00000 0.00000 0.00000
  41 0.00000 0.00000 0.00000
  42 0.00000 0.00000 0.00000
  43 0.00000 0.00000 0.00000
  44 0.00000 0.00000 0.00000
  45 0.00000 0.00000 0.00000
  46 0.00000 0.00000 0.00000
  47 0.00000 0.00000 0.00000
  48 0.00000 0.00000 0.00000
  49 0.00000 0.00000 0.00000
  50 0.00000 0.00000 0.00000
  51 0.00000 0.00000 0.00000
  52 0.00000 0.00000 0.00000
  53 0.00000 0.00000 0.00000
  54 0.00000 0.00000 0.00000
  55 0.00000 0.00000 0.00000
  56 0.00000 0.00000 0.00000
  57 0.00000 0.00000 0.00000
  58 0.00000 0.00000 0.00000
  59 0.00000 0.00000 0.00000
  60 0.00000 0.00000 0.00000
  61 0.00000 0.00000 0.00000
  62 0.00000 0.00000 0.00000
  63 0.00000 0.00000 0.00000
  64 0.00000 0.00000 0.00000
  65 0.00000 0.00000 0.00000
  66 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 47.1224 0.00000 7.00616e-16
  2 47.1224 0.00000 6.54444e-15
  3 47.1224 0.00000 3.52877e-14
  4 47.1224 0.00000 -2.26757e-15
  5 47.1224 0.00000 3.35101e-15
  6 47.1224 0.00000 2.53045e-15
  7 47.1224 0.00000 -3.45347e-15
  8 47.1224 0.00000 -4.96732e-15
  9 47.1224 0.00000 -3.86217e-15
  10 47.1224 0.00000 -6.36855e-15
  11 47.1224 0.00000 -2.50565e-15
  12 47.1224 0.00000 -2.69197e-16
  13 47.1224 0.00000 1.18562e-14
  14 47.1224 0.00000 3.90321e-15
  15 47.1224 0.00000 1.25902e-14
  16 47.1224 0.00000 1.71390e-14
  17 47.1224 0.00000 2.85681e-14
  18 47.1224 0.00000 -3.93411e-16
  19 47.1224 0.00000 -3.46435e-15
  20 47.1224 0.00000 -1.64882e-14
  21 47.1224 0.00000 -3.12671e-15
  22 47.1224 0.00000 -2.61251e-15
  23 47.1224 0.00000 -1.79569e-15
  24 47.1224 0.00000 2.54235e-16
  25 47.1224 0.00000 -1.39382e-15
  26 47.1224 0.00000 -1.91398e-16
  27 47.1224 0.00000 -3.22825e-16
  28 47.1224 0.00000 1.03877e-15
  29 47.1224 0.00000 -7.87078e-15
  30 47.1224 0.00000 2.17596e-14
  31 47.1224 0.00000 4.78675e-15
  32 47.1224 0.00000 2.38997e-14
  33 47.1224 0.00000 -8.60553e-15
  34 47.1224 0.00000 -2.69298e-15
  35 47.1224 0.00000 -2.31318e-15
  36 47.1224 0.00000 1.50090e-14
  37 47.1224 0.00000 8.02272e-15
  38 47.1224 0.00000 -3.00930e-16
  39 47.1224 0.00000 -5.05726e-15
  40 47.1224 0.00000 6.10073e-15
  41 47.1224 0.00000 7.98978e-15
  42 47.1224 0.00000 1.95949e-14
  43 47.1224 0.00000 5.41449e-15
  44 47.1224 0.00000 -2.88695e-15
  45 47.1224 0.00000 -4.79836e-15
  46 47.1224 0.00000 2.87329e-15
  47 47.1224 0.00000 7.62201e-15
  48 47.1224 0.00000 -4.40931e-16
  49 47.1224 0.00000 1.31733e-14
  50 47.1224 0.00000 -7.72272e-16
  51 47.1224 0.00000 1.37798e-14
  52 47.1224 0.00000 -8.10372e-15
  53 47.1224 0.00000 2.28457e-14
  54 47.1224 0.00000 1.15227e-14
  55 47.1224 0.00000 7.99645e-16
  56 47.1224 0.00000 2.07479e-14
  57 47.1224 0.00000 -9.50822e-16
  58 47.1224 0.00000 -1.39136e-15
  59 47.1224 0.00000 -2.30201e-15
  60 47.1224 0.00000 1.98021e-14
  61 47.1224 0.00000 -7.45956e-15
  62 47.1224 0.00000 -4.44626e-16
  63 47.1224 0.00000 1.19752e-15
  64 47.1224 0.00000 2.88426e-15
  65 47.1224 0.00000 -2.96720e-15
  66 47.1224 0.00000 3.30349e-15
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 94.4221 0.00000 8.89008e-17
  2 94.4221 0.00000 2.61649e-14
  3 94.4221 0.00000 -2.19145e-15
  4 94.4221 0.00000 -4.62640e-15
  5 94.4221 0.00000 3.65460e-15
  6 94.4221 0.00000 7.77344e-15
  7 94.4221 0.00000 6.76597e-15
  8 94.4221 0.00000 1.65449e-15
  9 94.4221 0.00000 -2.67053e-15
  10 94.4221 0.00000 -1.24601e-14
  11 94.4221 0.00000 -7.01345e-15
  12 94.4221 0.00000 3.22518e-14
  13 94.4221 0.00000 5.61622e-14
  14 94.4221 0.00000 -1.54974e-14
  15 94.4221 0.00000 -5.12630e-15
  16 94.4221 0.00000 -7.58265e-15
  17 94.4221 0.00000 9.86649e-15
  18 94.4221 0.00000 -1.52589e-14
  19 94.4221 0.00000 -2.42768e-14
  20 94.4221 0.00000 -4.72850e-14
  21 94.4221 0.00000 -2.30026e-14
  22 94.4221 0.00000 -1.34780e-14
  23 94.4221 0.00000 -4.34697e-15
  24 94.4221 0.00000 -2.03284e-15
  25 94.4221 0.00000 -1.64756e-15
  26 94.4221 0.00000 -3.13726e-15
  27 94.4221 0.00000 -5.12630e-15
  28 94.4221 0.00000 3.72253e-16
  29 94.4221 0.00000 -1.02295e-14
  30 94.4221 0.00000 1.78945e-15
  31 94.4221 0.00000 -5.54278e-16
  32 94.4221 0.00000 3.67966e-14
  33 94.4221 0.00000 -5.59419e-14
  34 94.4221 0.00000 -1.69529e-15
  35 94.4221 0.00000 -4.79594e-18
  36 94.4221 0.00000 -3.94436e-15
  37 94.4221 0.00000 -2.18091e-14
  38 94.4221 0.00000 -5.03969e-15
  39 94.4221 0.00000 -3.07837e-15
  40 94.4221 0.00000 -2.76807e-15
  41 94.4221 0.00000 3.61976e-15
  42 94.4221 0.00000 3.53113e-14
  43 94.4221 0.00000 -3.64233e-14
  44 94.4221 0.00000 -4.81495e-15
  45 94.4221 0.00000 -2.22403e-15
  46 94.4221 0.00000 3.20066e-16
  47 94.4221 0.00000 1.92846e-15
  48 94.4221 0.00000 -8.50853e-15
  49 94.4221 0.00000 -1.44888e-14
  50 94.4221 0.00000 -1.16744e-15
  51 94.4221 0.00000 -2.71465e-15
  52 94.4221 0.00000 -1.11113e-14
  53 94.4221 0.00000 -2.32762e-15
  54 94.4221 0.00000 -9.09892e-15
  55 94.4221 0.00000 1.18127e-15
  56 94.4221 0.00000 -3.41217e-15
