newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 0.00000 0.00000 0.00000
  2 0.00000 0.00000 0.00000
  3 0.00000 0.00000 0.00000
  4 0.00000 0.00000 0.00000
  5 0.00000 0.00000 0.00000
  6 0.00000 0.00000 0.00000
  7 0.00000 0.00000 0.00000
  8 0.00000 0.00000 0.00000
  9 0.00000 0.00000 0.00000
  10 0.00000 0.00000 0.00000
  11 0.00000 0.00000 0.00000
  12 0.00000 0.00000 0.00000
  13 0.00000 0.00000 0.00000
  14 0.00000 0.00000 0.00000
  15 0.00000 0.00000 0.00000
  16 0.00000 0.00000 0.00000
  17 0.00000 0.00000 0.00000
  18 0.00000 0.00000 0.00000
  19 0.00000 0.00000 0.00000
  20 0.00000 0.00000 0.00000
  21 0.00000 0.00000 0.00000
  22 0.00000 0.00000 0.00000
  23 0.00000 0.00000 0.00000
  24 0.00000 0.00000 0.00000
  25 0.00000 0.00000 0.00000
  26 0.00000 0.00000 0.00000
  27 0.00000 0.00000 0.00000
  28 0.00000 0.00000 0.00000
  29 0.00000 0.00000 0.00000
  30 0.00000 0.00000 0.00000
  31 0.00000 0.00000 0.00000
  32 0.00000 0.00000 0.00000
  33 0.00000 0.00000 0.00000
  34 0.00000 0.00000 0.00000
  35 0.00000 0.00000 0.00000
  36 0.00000 0.00000 0.00000
  37 0.00000 0.00000 0.00000
  38 0.00000 0.00000 0.00000
  39 0.00000 0.00000 0.00000
  40 0.00000 0.00000 0.00000
  41 0.00000 0.00000 0.00000
  42 0.00000 0.00000 0.00000
  43 0.00000 0.00000 0.00000
  44 0.00000 0.00000 0.00000
  45 0.00000 0.00000 0.00000
  46 0.00000 0.00000 0.00000
  47 0.00000 0.00000 0.00000
  48 0.00000 0.00000 0.00000
  49 0.00000 0.00000 0.00000
  50 0.00000 0.00000 0.00000
  51 0.00000 0.00000 0.00000
  52 0.00000 0.00000 0.00000
  53 0.00000 0.00000 0.00000
  54 0.00000 0.00000 0.00000
  55 0.00000 0.00000 0.00000
  56 0.00000 0.00000 0.00000
  57 0.00000 0.00000 0.00000
  58 0.00000 0.00000 0.00000
  59 0.00000 0.00000 0.00000
  60 0.00000 0.00000 0.00000
  61 0.00000 0.00000 0.00000
  62 0.00000 0.00000 0.00000
  63 0.00000 0.00000 0.00000
  64 0.00000 0.00000 0.00000
  65 0.00000 0.00000 0.00000
  66 0.00000 0.00000 0.00000
</Section>

newXOutput 2

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 19.3695 -5.49335e-10 -1.28892e-15
  2 19.3695 -5.49335e-10 -3.22651e-15
  3 19.3695 -5.49335e-10 4.35733e-15
  4 19.3695 -5.49335e-10 -2.16093e-15
  5 19.3695 -5.49335e-10 2.61493e-15
  6 19.3695 -5.49335e-10 3.91925e-15
  7 19.3695 -5.49335e-10 1.98236e-15
  8 19.3695 -5.49335e-10 4.77221e-16
  9 19.3695 -5.49335e-10 -1.90190e-15
  10 19.3695 -5.49335e-10 -1.03534e-14
  11 19.3695 -5.49335e-10 8.50708e-16
  12 19.3695 -5.49335e-10 4.37478e-15
  13 19.3695 -5.49335e-10 4.36918e-15
  14 19.3695 -5.49335e-10 -6.69722e-15
  15 19.3695 -5.49335e-10 -1.29732e-15
  16 19.3695 -5.49335e-10 -1.23767e-15
  17 19.3695 -5.49335e-10 -4.12752e-15
  18 19.3695 -5.49335e-10 -1.01484e-14
  19 19.3695 -5.49335e-10 -3.36548e-15
  20 19.3695 -5.49335e-10 -1.60353e-14
  21 19.3695 -5.49335e-10 -2.33720e-15
  22 19.3695 -5.49335e-10 -2.67129e-15
  23 19.3695 -5.49335e-10 -6.69095e-16
  24 19.3695 -5.49335e-10 4.21991e-16
  25 19.3695 -5.49335e-10 -8.98024e-16
  26 19.3695 -5.49335e-10 -8.60681e-16
  27 19.3695 -5.49335e-10 -1.29732e-15
  28 19.3695 -5.49335e-10 -3.75586e-16
  29 19.3695 -5.49335e-10 2.34501e-16
  30 19.3695 -5.49335e-10 1.04865e-15
  31 19.3695 -5.49335e-10 -7.61720e-16
  32 19.3695 -5.49335e-10 5.86269e-15
  33 19.3695 -5.49335e-10 -1.62094e-14
  34 19.3695 -5.49335e-10 1.25156e-15
  35 19.3695 -5.49335e-10 -1.47413e-15
  36 19.3695 -5.49335e-10 6.27846e-15
  37 19.3695 -5.49335e-10 1.35491e-15
  38 19.3695 -5.49335e-10 5.33969e-17
  39 19.3695 -5.49335e-10 8.54095e-16
  40 19.3695 -5.49335e-10 2.40221e-15
  41 19.3695 -5.49335e-10 1.55640e-15
  42 19.3695 -5.49335e-10 3.95659e-15
  43 19.3695 -5.49335e-10 -2.41112e-15
  44 19.3695 -5.49335e-10 2.52223e-16
  45 19.3695 -5.49335e-10 1.45113e-15
  46 19.3695 -5.49335e-10 -1.48732e-16
  47 19.3695 -5.49335e-10 4.74032e-16
  48 19.3695 -5.49335e-10 3.80195e-16
  49 19.3695 -5.49335e-10 -4.51530e-16
  50 19.3695 -5.49335e-10 -4.97254e-16
  51 19.3695 -5.49335e-10 -2.07053e-15
  52 19.3695 -5.49335e-10 5.14290e-17
  53 19.3695 -5.49335e-10 -1.33060e-15
  54 19.3695 -5.49335e-10 3.84303e-15
  55 19.3695 -5.49335e-10 -2.85232e-16
  56 19.3695 -5.49335e-10 2.20921e-15
  57 19.3695 -5.49335e-10 -8.85137e-15
  58 19.3695 -5.49335e-10 -1.16783e-16
  59 19.3695 -5.49335e-10 -1.23945e-16
  60 19.3695 -5.49335e-10 2.50602e-15
  61 19.3695 -5.49335e-10 -1.03555e-14
  62 19.3695 -5.49335e-10 1.70222e-15
  63 19.3695 -5.49335e-10 2.13087e-15
  64 19.3695 -5.49335e-10 -7.36922e-15
  65 19.3695 -5.49335e-10 -3.13101e-16
  66 19.3695 -5.49335e-10 -7.71793e-16
</Section>

newXOutput 3

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 38.6546 -5.50244e-10 -1.27267e-15
  2 38.6546 -5.50244e-10 2.72121e-15
  3 38.6546 -5.50244e-10 -3.82476e-15
  4 38.6546 -5.50244e-10 -2.11323e-15
  5 38.6546 -5.50244e-10 9.18237e-16
  6 38.6546 -5.50244e-10 -3.32106e-16
  7 38.6546 -5.50244e-10 -2.45602e-15
  8 38.6546 -5.50244e-10 2.76029e-15
  9 38.6546 -5.50244e-10 1.02746e-14
  10 38.6546 -5.50244e-10 -2.35274e-15
  11 38.6546 -5.50244e-10 -9.51366e-15
  12 38.6546 -5.50244e-10 -1.10550e-14
  13 38.6546 -5.50244e-10 1.05499e-14
  14 38.6546 -5.50244e-10 -1.55233e-14
  15 38.6546 -5.50244e-10 -3.23403e-15
  16 38.6546 -5.50244e-10 4.75868e-16
  17 38.6546 -5.50244e-10 -7.32034e-15
  18 38.6546 -5.50244e-10 -1.06372e-14
  19 38.6546 -5.50244e-10 -1.09979e-14
  20 38.6546 -5.50244e-10 5.07429e-16
  21 38.6546 -5.50244e-10 1.85887e-15
  22 38.6546 -5.50244e-10 -9.69676e-16
  23 38.6546 -5.50244e-10 3.81958e-16
  24 38.6546 -5.50244e-10 2.60093e-15
  25 38.6546 -5.50244e-10 -1.36718e-15
  26 38.6546 -5.50244e-10 -4.22829e-16
  27 38.6546 -5.50244e-10 -6.46805e-16
  28 38.6546 -5.50244e-10 1.08778e-15
  29 38.6546 -5.50244e-10 -4.06118e-15
  30 38.6546 -5.50244e-10 1.43089e-14
  31 38.6546 -5.50244e-10 -6.16211e-16
  32 38.6546 -5.50244e-10 4.53256e-15
  33 38.6546 -5.50244e-10 -1.09676e-14
  34 38.6546 -5.50244e-10 1.15201e-15
  35 38.6546 -5.50244e-10 -9.10959e-16
  36 38.6546 -5.50244e-10 5.54371e-15
  37 38.6546 -5.50244e-10 -3.26163e-15
